Link,Titulo,Cuerpo,Autor,Fecha
https://cnnespanol.cnn.com/2020/10/25/chile-le-da-la-bienvenida-al-camino-de-una-nueva-constitucion/,Chile da la bienvenida al camino de una nueva constitución,"['(CNN) — El presidente de Chile, Sebastián Piñera, elogió los resultados de un referendo nacional celebrado el domingo para desechar la constitución de la era de la dictadura y lo catalogó como un “triunfo” para la democracia.', 'Los resultados preliminares muestran que los chilenos apoyaron de manera contundente la redacción de una nueva constitución. Con más del 99 por ciento de los votos contados, más del 78 por ciento votó a favor de la medida, según el servicio electoral de Chile.', 'Crédito: CLAUDIO REYES / AFP) (Photo by CLAUDIO REYES/AFP via Getty Images', '“Este triunfo de la democracia debe llenarnos de alegría y esperanza”, afirmó Piñera el domingo por la noche. “Hasta ahora, la constitución nos ha dividido. De ahora en adelante, todos debemos colaborar para que la nueva constitución sea un gran sello de unidad, de estabilidad y de futuro”.', 'Crédito: CLAUDIO REYES/AFP via Getty Images', 'Una nueva carta de gobierno fue una demanda central de las enérgicas manifestaciones antigubernamentales sobre la desigualdad económica que estalló el año pasado. La constitución actual, de cuatro décadas de antigüedad, fue redactada durante la dictadura militar del general Augusto Pinochet, y los opositores dicen que el documento carece de legitimidad y se remonta a un período oscuro y violento en la historia del país.', 'Imágenes de CNN Chile, afiliada de CNN, dejan ver a grandes multitudes reunidas en la Plaza Italia de Santiago celebrando el resultado del referendo con pancartas que decían «Adiós, General».', 'Crédito: Marcelo Hernandez/Getty Images', 'Los chilenos votarán en una asamblea constitucional para redactar el documento en abril del próximo año.Referendo']",['Taylor Barnes'],['2020/10/25']
https://cnnespanol.cnn.com/2020/03/02/alerta-chile-se-registra-incendio-en-bodega/,Se registra incendio en bodega de Chile,"['(CNN Español) —\xa0 La Oficina Nacional de Emergencia del Ministerio del Interior y Seguridad Pública de Chile (ONEMI) informa que se registra un incendio estructural en bodega en la comuna de Pudahuel (Región Metropolitana de Santiago).', 'En un breve comunicado publicado este lunes indicaron que hasta el momento no se reportaron personas lesionados. En el lugar trabajan bomberos, Carabineros y personal municipal.', '#ONEMIInforma En estos momentos se registra un incendio estructural en bodega ubicada en la intersección de calles Puerto Madero y Puerto Santiago (Pudahuel). Trabajan en el lugar Bomberos de Quinta Normal, Carabineros y personal municipal. pic.twitter.com/wYlzB6fuxt', '— onemichile (@onemichile) March 2, 2020', 'Incendio']",['CNN en Español'],['2020/03/02']
https://cnnespanol.cnn.com/video/chile-nueva-constitucion-democrata-pinochet-protestas-represion-montoya-oraa-cafe-cnnee/,Aprueban redactar nueva constitución en Chile,"['El presidente del Senado de Chile, Jaime Quintana, anunció que el Congreso aprobó la autorización para una reforma de la Carta Magna aprobada durante la dictadura de Pinochet. Quintana aseguró que la nueva Constitución será 100% democrática. En Las protestas de este jueves en Santiago se recordó el primer aniversario de la polémica muerte del joven mapuche de 24 años, Camilo Catrillanca, quién falleció tras recibir un disparo en la cabeza. Activistas señalan este suceso como ejemplo de la represión en el país, pero las autoridades aseguran que fue un accidente. MIRA:\xa0Puntos clave del acuerdo para cambiar la Constitución de Pinochet en Chile']",['Alejandra Oraa'],['2019-11-15']
https://cnnespanol.cnn.com/video/chile-inicia-proceso-de-apertura-tras-larga-cuarentena/,Chile flexibiliza su cuarentena tras casi cinco meses de confinamiento,"['Chile ha tenido una de las cuarentenas más largas del mundo y desde este lunes comienza su proceso de apertura. El confinamiento por el coronavirus fue levantado de lunes a viernes, pero se mantienen las medidas sanitarias los fines de semana. Los restaurantes todavía no pueden abrir y los comercios solo pueden ser atendidos por los dueños o trabajadores que vivan en comunas en donde la cuarentena ya fue levantada.\xa0| #Podcast 🎧: Escucha lo último sobre el coronavirus en el podcast «Coronavirus: Realidad vs. ficción con el doctor Elmer Huerta']",['Cristopher Ulloa'],['2020-08-17']
https://cnnespanol.cnn.com/video/protestas-anarquicas-chile-crisis-social-fuentes-confiables-cnne-sot/,Venegas califica como «anárquicas» a las protestas en Chile,"['El periodista argentino José Venegas analiza el origen de las protestas sociales que ocurrieron en Chile en el último trimestre de 2019. «Estas protestas son bastante anárquicas», asegura Venegas, quien añade que se trata de una insatisfacción con las prestaciones estatales. MIRA:\xa0Chile: un muerto y 94 carabineros heridos en una nueva jornada de protestas']",['José Manuel Rodríguez'],['2019-12-27']
https://cnnespanol.cnn.com/video/elecciones-referendum-chile-constitucion-mirador-mundial-rafael-romo-cristopher-ulloa-live-santiago-2/,Chile dijo sí a la redacción de una nueva Constitución,['La gran mayoría de los chilenos votó a favor de redactar una nueva Carta Magna en el plebiscito constitucional realizado este domingo. Los chilenos deciden así dejar atrás la Constitución escrita durante la dictadura de Augusto Pinochet y recorrer un nuevo camino. Casi 15 millones de ciudadanos estaban habilitados para votar en este proceso. Cristopher Ulloa nos trae la actualización desde Santiago de Chile.'],"['Cristopher Ulloa', 'Rafael Romo']",['2020-10-25']
https://cnnespanol.cnn.com/2020/09/29/20-companias-de-bomberos-atienden-incendio-en-santiago-de-chile/,20 compañías de bomberos atienden incendio en Santiago de Chile,"['(CNN Español) — El Cuerpo de Bomberos de Santiago de Chile informó la madrugada de este martes sobre un incendio en General de la Lastra con Nueva Rengifo, en el área de Recoleta.', 'A través de su cuenta verificada en Twitter, el Cuerpo de Bomberos dijo que 20 compañías de tragafuegos y 22 maquinas atienden el siniestro.', 'Las autoridades no reportan heridos por el momento.']",['Gerardo Lemos'],['2020/09/29']
https://cnnespanol.cnn.com/video/continua-el-toque-de-queda-en-varias-ciudades-de-chile/,Continúa el toque de queda en varias ciudades de Chile,"['Aumenta a 11 el número de muertos en las violentas protestas de los recientes días en Chile. Hay 67 carabineros lesionados y 819 personas detenidas, según información oficial. El presidente Sebastián Piñera dijo la noche del domingo que Chile enfrenta una guerra contra un enemigo poderoso e implacable que no respeta a nada ni a nadie. Este lunes el jefe de la Defensa Nacional, el general Javier Iturriaga, expresó que no está en guerra con nadie. LEE:\xa0Aeropuerto de Santiago de Chile afectado por las manifestaciones']",['Cristopher Ulloa'],['2019-10-21']
https://cnnespanol.cnn.com/2019/10/20/alerta-chile-peruano-entre-los-fallecidos-en-protestas/,Peruano entre los fallecidos en protestas en Chile,"['(CNN Español) —\xa0El Gobierno peruano informó en un comunicado este domingo que un hombre de 38 años falleció “durante los recientes hechos acaecidos en Chile”.', '“El Consulado General del Perú en Santiago se encuentra siguiendo el caso en coordinación con las autoridades locales, y brindará el apoyo correspondiente a los familiares de la víctima”, indica el texto.', 'MIRA:\xa0Plaza Italia vuelve a ser centro de protestas y enfrentamientos en Chile', 'El domingo, la intendenta de la Región Metropolitana, Karla Rubilar, confirmó que se registraron tres muertos durante un incendio provocado en un supermercado en el sur de Santiago durante la noche del sábado. Se desconoce si el fallecido de Perú está incluido en este conteo.', 'El ministro del interior de Chile, Andrés Chadwick, informó este domingo que en el país se han registrado 103 «eventos graves» y que se han arrestado a más de 700 personas en las últimas horas.', 'Al menos tres personas han muerto.', 'MIRA:\xa0Gobierno de Chile confirma tres muertos tras jornadas de protestas y violencia por alza del paisaje', 'El presidente de Chile, Sebastián Piñera, se dirigió este domingo al país y dijo que había enviado el Congreso un proyecto de ley que permitiría suspender el incremento de tarifas del metro, lo que causó las protestas en Chile.', 'El presidente también informó que se había establecido estado de emergencia en 5 regiones de Chile.Perú']",['CNN en Español'],['2019/10/20']
https://cnnespanol.cnn.com/video/chile-sebastian-pinera-extiende-estado-catastrofe-covid-19-cnn-redaccion-buenos-aires/,Sebastián Piñera extiende medidas para evitar rebrote de covid-19 en Chile,"['El presidente de Chile, Sebastián Piñera, anunció que se extiende el estado de catástrofe por 90 días más, como parte de las medidas para tratar de evitar un rebrote de covid-19 en Chile. Cristopher Ulloa nos tiene los detalles desde Santiago.']",['Nacho Girón'],['2020-12-03']
